MechanicID,Name,SpecID
1,Khalid Mehmood,1
2,Tariq Hussain,2
3,Nasir Ali,3
4,Arif Ullah,4
5,Jameel Ahmad,5
6,Pervez Khan,6
7,Sajid Iqbal,7
8,Waqas Rehman,1
9,Hamid Nawaz,2
10,Rizwan Bashir,3
11,Sohail Awan,2
12,Zeeshan Awan,1
13,Yasir Sheikh,5
14,Kamran Sheikh,3
15,Kamran Khan,5
16,Sohail Qureshi,7
17,Babark Awan,1
18,Babark Khan,7
19,Nabeel Khan,5
20,Asad Sheikh,7
21,Faisal Mahmood,1
22,Yasir Awan,5
23,Yasir Khan,5
24,Asad Mahmood,6
25,Yasir Qureshi,5
26,Mudassir Lodhi,2
27,Mudassir Awan,3
28,Imran Awan,6
29,Zeeshan Mahmood,3
30,Asad Khan,4
31,Yasir Qureshi,1
32,Asad Qureshi,2
33,Babark Lodhi,2
34,Mudassir Khan,2
35,Mudassir Lodhi,2
36,Sohail Qureshi,6
37,Zeeshan Qureshi,7
38,Babark Khan,6
39,Babark Lodhi,6
40,Asad Awan,3
41,Asad Khan,6
42,Babark Awan,3
43,Zeeshan Qureshi,2
44,Mudassir Awan,6
45,Zeeshan Qureshi,4
46,Zeeshan Khan,1
47,Imran Lodhi,1
48,Kamran Lodhi,7
49,Nabeel Sheikh,3
50,Nabeel Sheikh,4
